NOM_ENT,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM_2020
Chiapas,Salto de Agua, 64 251,23.15276732,55.22244689,8.251649387,3.55953503,8.328620798,50.25466919,17.44109331,90.37991627,94.7391861,48.0518212
Chiapas,San Cristóbal de las Casas, 215 874,9.223525428,38.39559005,0.549386433,0.431308115,6.548852667,25.1504879,10.41922429,14.99254195,77.10955711,55.79199996
Chiapas,San Fernando, 41 793,10.77565551,53.45748323,1.501487096,0.618823755,10.88218363,38.2150383,4.725127123,71.60529275,84.1474487,53.20590712
Chiapas,Siltepec, 25 937,15.05826657,54.36445308,1.135617444,1.761365831,5.39611418,47.19122696,14.37676233,100,97.61797075,50.80967916
Chiapas,Simojovel, 52 935,24.60759818,62.84841183,2.270659591,0.998862775,7.321834723,63.51224899,20.1838514,72.38500047,93.76570458,48.65788941
Chiapas,Sitalá, 15 518,40.10843107,73.88266643,45.43979228,7.0561506,39.76630964,52.71823502,32.21681272,100,97.4189848,35.86085771
Chiapas,Socoltenango, 19 092,17.65277155,59.53981772,1.530157732,0.555497327,6.985274852,31.62579155,15.83608447,72.53299811,91.08064278,51.7980895
Chiapas,Solosuchiapa, 8 561,13.87805743,51.06345268,2.067824648,1.098901099,0.886210564,39.79492188,11.88703769,100,89.71571906,52.31772808
Chiapas,Soyaló, 10 890,14.14667581,53.80397533,1.717802682,1.240124931,2.673158185,37.93372345,8.368546757,100,88.61310133,52.41667947
Chiapas,Suchiapa, 25 627,11.74181353,39.10819526,0.988435693,1.230661041,7.704328801,43.12706757,6.176746367,23.63132634,82.8529445,54.14202083
Chiapas,Suchiate, 41 672,14.26802081,53.36221296,1.88172043,1.755788046,17.50944493,40.16445923,16.34699215,45.812536,89.02734743,51.21653029
Chiapas,Sunuapa, 2 308,12.41956242,42.53539254,1.559792028,1.993067591,11.56845754,36.36363602,11.91507799,100,92.72076372,51.70299368
Chiapas,Tapachula, 353 706,6.892005321,34.10822723,0.920533696,0.740347802,8.141519443,28.43327904,10.36562513,31.92708068,78.62552923,55.47078711
Chiapas,Tapalapa, 4 547,13.37406653,48.06517312,1.824735301,0.765938274,1.734624916,44.81818008,17.63910791,100,92.1388102,51.80853159
Chiapas,Tapilula, 13 592,11.63166397,34.75974406,0.423288282,0.556958265,2.123867518,38.04285049,9.86187435,38.0444379,87.76829584,54.5896681
Chiapas,Tecpatán, 21 426,13.9583757,54.8030642,3.179082017,3.893905192,5.050790068,41.78768921,13.21482318,100,94.39020611,50.60815892
Chiapas,Tenejapa, 48 162,19.29538527,71.16241787,1.025118523,1.307909839,5.566414372,51.20652008,12.48024619,100,98.9280245,49.79297085
